Instance,Size,Average,Best,Time(s),#MotherRoutes,#DaughterRoutes,%DaughterRoutes
A1, 10, 142130, 142130, 0.88, 1, 0, 0.0
A2, 10, 161834, 161834, 0.91, 1, 0, 0.0
A3, 11, 182675, 182672, 1.83, 1, 1, 9.1
A4, 11, 200840, 200840, 1.07, 1, 1, 27.3
B1, 15, 221375, 216591, 1.88, 1, 1, 33.3
B2, 15, 187147, 186964, 1.54, 1, 1, 20.0
B3, 15, 158000, 158000, 1.16, 1, 0, 0.0
B4, 15, 187168, 187158, 1.57, 1, 1, 13.3
C1, 20, 270920, 263948, 2.42, 2, 1, 15.0
C2, 22, 299717, 291362, 2.62, 2, 1, 18.2
C3, 22, 341349, 340825, 4.08, 1, 1, 18.2
C4, 22, 443588, 439255, 3.08, 2, 0, 0.0
